iter	Passed	Remaining
0	76	115262
1	77	58162
2	78	39104
3	79	29548
4	79	23806
5	80	19977
6	80	17266
7	81	15213
8	82	13588
9	82	12292
10	83	11236
11	83	10360
12	84	9667
13	85	9038
14	85	8509
15	86	8028
16	87	7596
17	87	7213
18	89	6941
19	89	6634
20	90	6354
21	90	6099
22	91	5868
23	92	5658
24	92	5465
25	92	5258
26	94	5140
27	95	5030
28	96	4885
29	97	4757
30	97	4622
31	98	4505
32	98	4395
33	99	4292
34	100	4211
35	101	4113
36	101	4022
37	102	3935
38	102	3856
39	103	3778
40	104	3705
41	104	3635
42	105	3570
43	106	3509
44	106	3443
45	107	3400
46	108	3339
47	108	3287
48	109	3239
49	109	3188
50	110	3147
51	111	3114
52	112	3075
53	113	3030
54	113	2989
55	114	2949
56	114	2909
57	115	2874
58	116	2859	59	116	2760	116	2753
61	117	2719
62	117	2689
63	118	2666
64	119	2637
65	119	2605
66	120	2576
67	121	2549
68	121	2521
69	122	2495
70	122	2470
71	123	2445
72	123	2422
73	124	2402
74	125	2381
75	125	2360
76	126	2338
77	127	2317
78	128	2312
79	129	2293
80	129	2275
81	130	2256
82	131	2238
83	131	2220
84	132	2201
85	133	2187
86	133	2168
87	133	2149
88	134	2132
89	135	2117
90	135	2101
91	136	2087
92	137	2072
93	137	2058
94	138	2046
95	138	2032
96	139	2018
97	140	2004
98	140	1991
99	141	1978
100	142	1968
101	143	1963
102	143	1949
103	144	1937
104	144	1926
105	145	1915
106	146	1902
107	146	1890
108	147	1879
109	147	1868
110	148	1858
111	150	1865
112	151	1855
113	151	1844
114	152	1835
115	153	1830
116	154	1820
117	154	1811
118	155	1808
119	156	1798
120	157	1789
121	157	1779
122	158	1771
123	158	1761
124	159	1752
125	159	1742
126	160	1735
127	161	1728
128	161	1718
129	162	1711
130	162	1702
131	163	1693
132	164	1695
133	165	1687
134	166	1680
135	166	1671
136	167	1663
137	167	1656
138	168	1649
139	168	1641
140	169	1634
141	170	1631
142	171	1623
143	171	1616
144	172	1609
145	173	1608
146	173	1601
147	174	1594
148	175	1588
149	176	1585
150	176	1579
151	177	1572
152	178	1567
153	178	1562
154	179	1555
155	179	1549
156	180	1543
157	181	1542
158	182	1540
159	183	1534
160	183	1529
161	184	1524
162	185	1518
163	187	1524
164	187	1519
165	188	1514
166	189	1509
167	189	1505
168	190	1499
169	191	1494
170	191	1488
171	192	1484
172	192	1478
173	193	1472
174	193	1466
175	194	1461
176	194	1457
177	195	1452
178	196	1447
179	197	1447
180	197	1442
181	198	1437
182	199	1433
183	199	1429
184	200	1425
185	201	1419
186	201	1415
187	202	1410
188	202	1405
189	203	1402
190	204	1399
191	204	1394
192	205	1391
193	206	1388
194	207	1386
195	207	1381
196	208	1376
197	208	1372
198	209	1368
199	209	1364
200	210	1361
201	211	1357
202	211	1353
203	212	1350
204	213	1347
205	213	1343
206	214	1339
207	215	1335
208	215	1332
209	216	1328
210	217	1325
211	217	1322
212	218	1319
213	218	1315
214	219	1311
215	220	1307
216	221	1308
217	222	1305
218	222	1301
219	223	1298
220	223	1294
221	224	1291
222	224	1288
223	225	1284
224	226	1281
225	227	1280
226	228	1278
227	228	1274
228	229	1271
229	229	1267
230	230	1264
231	230	1261
232	231	1258
233	231	1255
234	232	1251
235	233	1249
236	233	1246
237	234	1242
238	234	1239
239	235	1235
240	236	1234
241	236	1231
242	237	1229
243	238	1225
244	238	1223
245	239	1219
246	239	1216
247	240	1213
248	240	1210
249	241	1208
250	243	1212
251	244	1208
252	244	1205
253	245	1202
254	245	1199
255	246	1197
256	246	1194
257	247	1191
258	248	1188
259	248	1185
260	249	1182
261	250	1181
262	250	1179
263	251	1176
264	251	1174
265	252	1171
266	253	1169
267	253	1167
268	254	1165
269	255	1162
270	256	1162
271	257	1160
272	257	1158
273	258	1155
274	258	1151
275	259	1149
276	259	1147
277	260	1144
278	261	1142
279	261	1139
280	262	1137
281	263	1140
282	264	1137
283	265	1134
284	265	1132
285	266	1130
286	266	1127
287	267	1126
288	268	1125
289	269	1123
290	269	1120
291	270	1118
292	271	1116
293	271	1114
294	272	1111
295	272	1109
296	273	1107
297	273	1104
298	274	1101
299	274	1099
300	275	1097
301	275	1094
302	276	1091
303	277	1090
304	277	1088
305	278	1086
306	279	1084
307	279	1082
308	280	1080
309	280	1078
310	281	1076
311	282	1074
312	282	1072
313	283	1070
314	283	1068
315	284	1066
316	285	1064
317	285	1061
318	286	1060
319	286	1058
320	287	1056
321	288	1054
322	288	1052
323	289	1051
324	290	1049
325	290	1047
326	291	1046
327	292	1044
328	292	1042
329	293	1040
330	294	1038
331	294	1037
332	295	1034
333	295	1033
334	296	1032
335	297	1030
336	298	1028
337	298	1026
338	299	1025
339	299	1023
340	300	1021
341	301	1019
342	301	1018
343	302	1016
344	303	1015
345	304	1014
346	304	1012
347	305	1010
348	306	1009
349	306	1007
350	307	1005
351	307	1003
352	308	1002
353	308	999
354	309	997
355	310	996
356	310	994
357	311	993
358	312	993
359	313	992
360	314	992
361	314	990
362	315	987
363	316	986
364	317	986
365	318	985
366	318	983
367	319	981
368	320	981
369	321	980
370	321	979
371	322	978
372	323	977
373	324	976
374	324	974
375	325	972
376	325	970
377	326	970
378	328	970
379	329	969
380	330	969
381	330	968
382	331	967
383	332	965
384	332	964
385	333	962
386	334	961
387	334	959
388	335	957
389	336	958
390	337	956
391	337	954
392	338	953
393	339	951
394	339	950
395	340	948
396	340	947
397	341	945
398	342	944
399	342	942
400	343	941
401	344	940
402	345	939
403	346	940
404	347	940
405	348	938
406	349	937
407	349	935
408	350	935
409	351	934
410	352	933
411	353	932
412	353	931
413	354	930
414	355	929
415	356	928
416	356	926
417	357	925
418	358	923
419	358	922
420	359	920
421	359	919
422	362	921
423	362	921
424	363	919
425	364	918
426	364	916
427	365	914
428	366	913
429	366	912
430	367	911
431	368	910
432	369	910
433	369	908
434	370	907
435	371	906
436	372	905
437	372	903
438	373	901
439	373	900
440	375	901
441	376	901
442	377	900
443	378	899
444	379	899
445	379	897
446	380	896
447	381	894
448	381	893
449	382	891
450	382	890
451	383	888
452	384	888
453	385	887
454	385	885
455	386	884
456	386	882
457	389	886
458	390	884
459	391	884
460	392	883
461	392	882
462	393	881
463	394	880
464	395	880
465	396	879
466	396	877
467	397	876
468	398	875
469	398	874
470	399	872
471	400	871
472	400	870
473	401	869
474	402	869
475	403	868
476	404	867
477	404	865
478	405	864
479	406	863
480	410	868
481	410	867
482	413	869
483	414	869
484	414	868
485	415	867
486	417	868
487	418	867
488	418	865
489	419	864
490	420	863
491	421	862
492	421	861
493	422	860
494	423	858
495	423	858
496	425	859
497	426	857
498	427	856
499	427	855
500	428	854
501	428	852
502	429	850
503	429	848
504	430	847
505	430	846
506	432	846
507	433	845
508	433	844
509	434	842
510	434	841
511	435	840
512	436	839
513	436	837
514	437	836
515	438	835
516	438	834
517	439	832
518	442	835
519	442	834
520	443	832
521	444	832
522	444	830
523	445	829
524	446	828
525	446	827
526	447	825
527	448	824
528	449	825
529	450	823
530	450	822
531	451	821
532	452	820
533	452	819
534	453	817
535	454	816
536	454	815
537	455	813
538	455	812
539	456	811
540	458	813
541	459	811
542	460	811
543	461	811
544	462	809
545	462	808
546	463	808
547	464	807
548	468	811
549	469	810
550	470	809
551	470	808
552	471	807
553	471	805
554	472	804
555	472	803
556	475	805
557	477	805
558	477	804
559	478	803
560	479	801
561	480	801
562	480	800
563	481	799
564	482	798
565	483	797
566	483	795
567	484	794
568	485	793
569	485	792
570	486	791
571	486	789
572	487	789
573	488	788
574	489	786
575	490	786
576	491	786
577	492	785
578	493	784
579	493	783
580	494	782
581	495	781
582	495	779
583	496	778
584	497	777
585	497	776
586	498	775
587	499	774
588	501	775
589	501	774
590	502	773
591	503	771
592	504	770
593	504	769
594	505	769
595	506	768
596	507	767
597	508	766
598	509	765
599	509	764
600	510	763
601	510	762
602	511	760
603	512	759
604	512	758
605	513	757
606	514	757
607	515	756
608	516	755
609	518	756
610	519	755
611	519	754
612	520	753
613	521	751
614	521	750
615	522	750
616	523	748
617	523	747
618	524	746
619	525	745
620	526	745
621	527	744
622	527	742
623	528	741
624	528	740
625	529	739
626	530	738
627	530	736
628	531	735
629	531	734
630	532	733
631	533	732
632	533	730
633	534	729
634	534	728
635	535	726
636	535	725
637	536	724
638	536	723
639	537	722
640	539	722
641	539	721
642	542	722
643	543	721
644	544	721
645	544	720
646	545	719
647	546	718
648	546	716
649	547	715
650	547	714
651	548	713
652	551	715
653	552	714
654	552	713
655	553	712
656	554	711
657	554	710
658	555	708
659	556	707
660	556	706
661	557	705
662	558	704
663	558	703
664	559	702
665	559	701
666	560	699
667	561	698
668	561	697
669	562	696
670	563	695
671	563	694
672	565	694
673	567	695
674	568	694
675	569	693
676	569	692
677	570	691
678	570	690
679	571	689
680	572	688
681	573	687
682	574	686
683	574	685
684	575	684
685	575	683
686	576	682
687	578	682
688	578	681
689	579	680
690	580	679
691	580	678
692	582	677
693	583	677
694	585	678
695	586	677
696	586	675
697	588	676
698	589	675
699	590	675
700	591	674
701	592	673
702	593	672
703	594	671
704	594	670
705	595	669
706	596	669
707	597	668
708	598	668
709	599	667
710	600	665
711	600	664
712	601	663
713	601	662
714	603	662
715	605	663
716	606	662
717	607	661
718	607	660
719	608	659
720	608	657
721	609	657
722	610	656
723	611	655
724	612	654
725	613	653
726	613	652
727	614	651
728	614	650
729	615	649
730	616	648
731	616	647
732	617	646
733	618	645
734	619	644
735	619	643
736	620	642
737	621	641
738	621	640
739	622	639
740	622	638
741	623	637
742	624	635
743	624	634
744	625	633
745	626	632
746	627	632
747	628	631
748	628	630
749	629	629
750	630	628
751	631	627
752	631	626
753	632	625
754	632	624
755	633	623
756	634	622
757	635	621
758	636	621
759	637	620
760	638	619
761	638	618
762	639	617
763	640	616
764	640	615
765	641	614
766	641	613
767	642	612
768	643	611
769	643	610
770	644	609
771	645	608
772	645	607
773	646	606
774	647	606
775	648	605
776	649	604
777	649	603
778	650	602
779	651	601
780	651	600
781	652	599
782	653	598
783	653	597
784	654	596
785	655	595
786	655	594
787	656	593
788	657	592
789	657	591
790	658	590
791	658	589
792	659	588
793	660	587
794	661	586
795	661	585
796	662	584
797	663	583
798	663	582
799	664	581
800	665	580
801	665	579
802	666	578
803	667	577
804	667	576
805	668	575
806	668	574
807	669	573
808	670	572
809	670	571
810	671	570
811	671	569
812	672	568
813	673	567
814	673	566
815	674	565
816	674	564
817	675	563
818	675	562
819	676	560
820	677	559
821	677	559
822	678	558
823	679	557
824	679	556
825	680	555
826	680	554
827	681	553
828	682	552
829	682	551
830	683	550
831	683	549
832	684	548
833	685	547
834	685	546
835	686	545
836	686	544
837	687	543
838	688	542
839	689	541
840	689	540
841	690	539
842	690	538
843	691	537
844	692	536
845	693	535
846	693	534
847	694	533
848	695	532
849	695	531
850	696	531
851	697	530
852	697	529
853	698	528
854	698	527
855	700	526
856	700	525
857	701	524
858	702	524
859	703	523
860	704	522
861	705	522
862	706	521
863	706	520
864	707	519
865	708	518
866	709	517
867	709	516
868	710	515
869	710	514
870	711	513
871	712	512
872	712	512
873	713	511
874	714	510
875	715	509
876	715	508
877	716	507
878	717	506
879	717	505
880	718	504
881	719	503
882	719	503
883	720	502
884	721	501
885	722	500
886	722	499
887	723	498
888	723	497
889	724	496
890	724	495
891	725	494
892	725	493
893	726	492
894	727	491
895	727	490
896	728	489
897	729	488
898	729	487
899	730	487
900	731	486
901	731	484
902	731	483
903	732	482
904	733	481
905	733	481
906	734	480
907	734	479
908	735	478
909	736	477
910	736	476
911	737	475
912	738	474
913	738	473
914	739	472
915	740	472
916	741	471
917	743	471
918	744	470
919	744	469
920	745	468
921	745	467
922	746	466
923	747	465
924	747	464
925	748	463
926	749	463
927	749	462
928	750	461
929	751	460
930	751	459
931	753	458
932	753	458
933	754	457
934	755	456
935	756	455
936	756	454
937	757	453
938	757	452
939	758	451
940	759	451
941	760	450
942	760	449
943	761	448
944	762	447
945	762	446
946	763	445
947	763	444
948	764	443
949	765	443
950	766	442
951	767	441
952	767	440
953	768	439
954	769	439
955	770	438
956	771	437
957	771	436
958	772	435
959	773	434
960	773	434
961	774	433
962	775	432
963	775	431
964	776	430
965	776	429
966	777	428
967	778	427
968	778	426
969	779	425
970	780	425
971	780	424
972	781	423
973	782	422
974	782	421
975	783	420
976	784	419
977	784	418
978	785	418
979	786	417
980	786	416
981	787	415
982	788	414
983	788	413
984	789	412
985	790	411
986	790	410
987	791	410
988	792	409
989	792	408
990	793	407
991	794	406
992	794	405
993	795	404
994	796	404
995	796	403
996	797	402
997	798	401
998	798	400
999	799	399
1000	799	398
1001	800	397
1002	801	397
1003	801	396
1004	802	395
1005	803	394
1006	803	393
1007	804	392
1008	804	391
1009	805	390
1010	805	389
1011	806	388
1012	806	387
1013	807	386
1014	807	385
1015	808	385
1016	809	384
1017	809	383
1018	810	382
1019	811	382
1020	812	381
1021	813	380
1022	813	379
1023	814	378
1024	814	377
1025	815	376
1026	816	375
1027	817	375
1028	817	374
1029	818	373
1030	819	372
1031	819	371
1032	820	370
1033	821	370
1034	821	369
1035	822	368
1036	822	367
1037	823	366
1038	823	365
1039	824	364
1040	825	363
1041	825	362
1042	826	362
1043	826	361
1044	827	360
1045	828	359
1046	828	358
1047	829	357
1048	829	356
1049	830	355
1050	830	354
1051	831	354
1052	832	353
1053	832	352
1054	833	351
1055	833	350
1056	834	349
1057	835	348
1058	835	348
1059	836	347
1060	837	346
1061	837	345
1062	838	344
1063	841	344
1064	842	343
1065	842	343
1066	843	342
1067	844	341
1068	844	340
1069	845	339
1070	846	339
1071	847	338
1072	847	337
1073	848	336
1074	849	335
1075	849	334
1076	850	334
1077	851	333
1078	851	332
1079	852	331
1080	853	330
1081	853	329
1082	854	328
1083	854	328
1084	855	327
1085	856	326
1086	856	325
1087	857	324
1088	858	323
1089	858	323
1090	859	322
1091	860	321
1092	860	320
1093	861	319
1094	862	318
1095	862	318
1096	863	317
1097	864	316
1098	864	315
1099	865	314
1100	866	313
1101	866	313
1102	867	312
1103	868	311
1104	868	310
1105	869	309
1106	870	308
1107	870	308
1108	871	307
1109	871	306
1110	872	305
1111	873	304
1112	874	303
1113	874	303
1114	875	302
1115	876	301
1116	876	300
1117	877	299
1118	878	298
1119	878	298
1120	879	297
1121	879	296
1122	880	295
1123	881	294
1124	881	293
1125	882	293
1126	883	292
1127	884	291
1128	884	290
1129	885	289
1130	886	289
1131	886	288
1132	887	287
1133	887	286
1134	888	285
1135	889	284
1136	895	285
1137	896	285
1138	896	284
1139	897	283
1140	898	282
1141	898	281
1142	899	280
1143	900	280
1144	900	279
1145	901	278
1146	901	277
1147	902	276
1148	902	275
1149	903	275
1150	904	274
1151	904	273
1152	905	272
1153	905	271
1154	906	270
1155	907	269
1156	908	269
1157	908	268
1158	909	267
1159	909	266
1160	910	265
1161	910	264
1162	911	264
1163	912	263
1164	912	262
1165	913	261
1166	914	260
1167	915	260
1168	915	259
1169	916	258
1170	916	257
1171	917	256
1172	918	255
1173	918	255
1174	919	254
1175	919	253
1176	920	252
1177	920	251
1178	921	250
1179	922	250
1180	923	249
1181	923	248
1182	924	247
1183	925	246
1184	925	246
1185	925	245
1186	926	244
1187	927	243
1188	927	242
1189	928	241
1190	929	241
1191	929	240
1192	930	239
1193	931	238
1194	931	237
1195	932	237
1196	933	236
1197	933	235
1198	934	234
1199	934	233
1200	935	232
1201	935	231
1202	936	231
1203	937	230
1204	937	229
1205	938	228
1206	938	227
1207	939	227
1208	940	226
1209	940	225
1210	941	224
1211	941	223
1212	942	222
1213	943	222
1214	943	221
1215	944	220
1216	945	219
1217	945	218
1218	946	218
1219	946	217
1220	947	216
1221	947	215
1222	948	214
1223	949	214
1224	949	213
1225	950	212
1226	951	211
1227	951	210
1228	952	210
1229	953	209
1230	953	208
1231	954	207
1232	954	206
1233	955	205
1234	956	205
1235	956	204
1236	957	203
1237	957	202
1238	958	201
1239	958	201
1240	959	200
1241	959	199
1242	960	198
1243	961	197
1244	961	196
1245	962	196
1246	963	195
1247	963	194
1248	964	193
1249	965	193
1250	966	192
1251	966	191
1252	967	190
1253	968	189
1254	968	189
1255	969	188
1256	969	187
1257	970	186
1258	971	185
1259	971	185
1260	972	184
1261	973	183
1262	974	182
1263	975	182
1264	975	181
1265	976	180
1266	976	179
1267	977	178
1268	978	178
1269	978	177
1270	979	176
1271	980	175
1272	981	174
1273	981	174
1274	982	173
1275	982	172
1276	983	171
1277	984	170
1278	984	170
1279	985	169
1280	986	168
1281	986	167
1282	987	167
1283	988	166
1284	989	165
1285	989	164
1286	990	163
1287	991	163
1288	992	162
1289	992	161
1290	993	160
1291	993	159
1292	994	159
1293	995	158
1294	996	157
1295	996	156
1296	997	156
1297	998	155
1298	998	154
1299	999	153
1300	1000	153
1301	1000	152
1302	1001	151
1303	1002	150
1304	1002	149
1305	1003	149
1306	1004	148
1307	1005	147
1308	1006	146
1309	1006	146
1310	1007	145
1311	1008	144
1312	1008	143
1313	1009	142
1314	1009	142
1315	1010	141
1316	1012	140
1317	1013	139
1318	1013	139
1319	1014	138
1320	1014	137
1321	1015	136
1322	1016	135
1323	1016	135
1324	1017	134
1325	1018	133
1326	1018	132
1327	1019	132
1328	1019	131
1329	1020	130
1330	1020	129
1331	1021	128
1332	1022	128
1333	1024	127
1334	1025	126
1335	1025	125
1336	1027	125
1337	1028	124
1338	1028	123
1339	1029	122
1340	1030	122
1341	1030	121
1342	1031	120
1343	1032	119
1344	1032	119
1345	1033	118
1346	1035	117
1347	1036	116
1348	1036	116
1349	1037	115
1350	1038	114
1351	1038	113
1352	1039	112
1353	1039	112
1354	1040	111
1355	1041	110
1356	1041	109
1357	1042	108
1358	1042	108
1359	1043	107
1360	1044	106
1361	1045	105
1362	1045	105
1363	1046	104
1364	1046	103
1365	1047	102
1366	1047	101
1367	1048	101
1368	1049	100
1369	1049	99
1370	1050	98
1371	1051	98
1372	1051	97
1373	1052	96
1374	1052	95
1375	1053	94
1376	1054	94
1377	1054	93
1378	1055	92
1379	1056	91
1380	1056	91
1381	1057	90
1382	1058	89
1383	1059	88
1384	1061	88
1385	1063	87
1386	1065	86
1387	1066	86
1388	1066	85
1389	1067	84
1390	1068	83
1391	1069	82
1392	1069	82
1393	1070	81
1394	1071	80
1395	1073	79
1396	1074	79
1397	1074	78
1398	1075	77
1399	1076	76
1400	1077	76
1401	1078	75
1402	1078	74
1403	1079	73
1404	1079	73
1405	1080	72
1406	1081	71
1407	1082	70
1408	1082	69
1409	1094	69
1410	1095	69
1411	1095	68
1412	1096	67
1413	1096	66
1414	1097	65
1415	1098	65
1416	1098	64
1417	1099	63
1418	1099	62
1419	1106	62
1420	1107	61
1421	1108	60
1422	1108	60
1423	1137	60
1424	1138	59
1425	1139	59
1426	1139	58
1427	1140	57
1428	1140	56
1429	1141	55
1430	1142	55
1431	1142	54
1432	1143	53
1433	1144	52
1434	1144	51
